endx,endy,startx,starty,pox,poy
-440563.7255,51625.3707,-454063.7255,51625.3707,0,0
-440021.0156,130120.313,-437638.9567,109613.1555,0,0
-439647.9565,176525.7331,-446132.5681,180648.8821,0,0
-437638.9567,109613.1555,-437638.9567,92113.1555,0,0
-437638.9567,92113.1555,-436638.9567,92113.1555,0,0
-437638.9567,92113.1555,-440563.7255,92125.3707,0,0
-437135.1458,144550,-464635.1458,144550,0,0
-436638.9567,109613.1555,-437638.9567,109613.1555,0,0
-436609.4188,170927.7796,-439647.9565,176525.7331,0,0
-434821.7178,145048.7968,-436609.4188,170927.7796,0,0
-434821.7178,145048.7968,-428577.7124,154011.7796,0,0
-434821.7178,145048.7968,-437135.1458,144550,0,0
-434821.7178,145048.7968,-440021.0156,130120.313,0,0
-428577.7124,154011.7796,-398518.1982,154011.7796,0,0
-422788.2692,142325.4032,-434821.7178,145048.7968,0,0
-401788.2692,142325.4032,-422788.2692,142325.4032,0,0
-398518.1982,151652.2013,-386749.566,151652.2013,0,0
-398518.1982,154011.7796,-398518.1982,151652.2013,0,0
-391687.3928,131991.1278,-401788.2692,142325.4032,0,0
-386749.566,137685.0118,-381872.3712,137685.0118,0,0
-386749.566,151652.2013,-386749.566,137685.0118,0,0
-381872.3712,137685.0118,-367464.5601,137685.0118,0,0
-377563.7255,51625.3707,-359063.7255,51625.3707,0,0
-377563.7255,54125.3707,-377563.7255,51625.3707,0,0
-377563.7255,51625.3707,-440563.7255,51625.3707,0,0
-367464.5601,137685.0118,-367464.5601,143247.3322,0,0
-367464.5601,143247.3322,-367464.5601,146879.8001,0,0
